,keep as it is,Same as attendeefk,,Just write the name I will convert to id,keep it as it is,,optional,optional,keep it as it is,keep it as it is,keep it as it is,"1 = done, -1 cancelled",
date_created,date_updated,created_by,candidatefk,attendeefk,type,date_meeting,location,description,date_reminder1,date_reminder2,reminder_update,meeting_done,date_met
2011/12/15 15:05,NULL,186,117702,186,1,2011/12/15 15:05,,Assessed in person,NULL,NULL,NULL,1,2011/12/15 15:05
2006/11/07 17:05,NULL,326,117543,326,1,2006/11/07 17:05,,Assessed in person,NULL,NULL,NULL,1,2006/11/07 17:05
2006/12/13 22:03,NULL,333,117425,333,1,2006/12/13 22:03,,Assessed in person,NULL,NULL,NULL,1,2006/12/13 22:03
2006/12/08 19:28,NULL,196,117355,196,1,2006/12/08 19:28,,Assessed in person,NULL,NULL,NULL,1,2006/12/08 19:28
2008/02/28 18:31,NULL,308,116848,308,1,2008/02/28 18:31,,Assessed in person,NULL,NULL,NULL,1,2008/02/28 18:31
2006/11/28 20:55,NULL,7,116711,7,1,2006/11/28 20:55,,Assessed in person,NULL,NULL,NULL,1,2006/11/28 20:55
2008/02/20 17:14,NULL,308,116401,308,1,2008/02/20 17:14,,Assessed in person,NULL,NULL,NULL,1,2008/02/20 17:14
2006/12/04 14:38,NULL,326,116133,326,1,2006/12/04 14:38,,Assessed in person,NULL,NULL,NULL,1,2006/12/04 14:38
2006/11/01 19:44,NULL,183,115808,183,1,2006/11/01 19:44,,Assessed in person,NULL,NULL,NULL,1,2006/11/01 19:44
2006/10/19 14:13,NULL,186,115611,186,1,2006/10/19 14:13,,Assessed in person,NULL,NULL,NULL,1,2006/10/19 14:13
2006/11/21 16:59,NULL,183,115444,183,1,2006/11/21 16:59,,Assessed in person,NULL,NULL,NULL,1,2006/11/21 16:59
2006/10/23 21:18,NULL,186,115069,186,1,2006/10/23 21:18,,Assessed in person,NULL,NULL,NULL,1,2006/10/23 21:18
2009/11/10 20:50,NULL,354,115068,354,1,2009/11/10 20:50,,Assessed in person,NULL,NULL,NULL,1,2009/11/10 20:50
2006/11/10 11:14,NULL,196,115041,196,1,2006/11/10 11:14,,Assessed in person,NULL,NULL,NULL,1,2006/11/10 11:14
